mjd	why	night_mjd	sequence
59885.06527777778	start	59885	Euclid_g
59885.16388888889	start	59885	XMM-LSS_g
59885.21388888889	start	59885	ECDFS_g
59885.26875	start	59885	Elias_S1_g
59886.06527777778	pregap	59886	Euclid_g
59886.16388888889	pregap	59886	XMM-LSS_g
59886.21388888889	pregap	59886	ECDFS_g
59886.28888888889	pregap	59886	Elias_S1_g
59894.029861111114	postgap	59894	Elias_S1_g
59894.07916666667	postgap	59894	ECDFS_g
59894.12847222222	postgap	59894	XMM-LSS_g
59894.177083333336	postgap	59894	Euclid_g
59896.05763888889	cadence	59896	Elias_S1_g
59896.106944444444	cadence	59896	ECDFS_g
59896.15625	cadence	59896	XMM-LSS_g
59896.205555555556	cadence	59896	Euclid_g
59898.05	cadence	59898	Elias_S1_g
59898.10138888889	cadence	59898	XMM-LSS_g
59898.15277777778	cadence	59898	ECDFS_g
59898.20208333333	cadence	59898	Euclid_g
59900.05	cadence	59900	Elias_S1_g
59900.11388888889	cadence	59900	XMM-LSS_g
59900.16388888889	cadence	59900	ECDFS_g
59900.285416666666	start	59900	COSMOS_g
59901.15277777778	cadence	59901	Euclid_g
59902.03888888889	cadence	59902	Elias_S1_g
59902.1125	cadence	59902	XMM-LSS_g
59902.16388888889	cadence	59902	ECDFS_g
59902.279861111114	cadence	59902	COSMOS_g
59903.146527777775	cadence	59903	Euclid_g
59904.03888888889	cadence	59904	Elias_S1_g
59904.10138888889	cadence	59904	XMM-LSS_g
59904.15277777778	cadence	59904	ECDFS_g
59904.274305555555	cadence	59904	COSMOS_g
59905.14375	cadence	59905	Euclid_g
59906.03888888889	cadence	59906	Elias_S1_g
59906.10138888889	cadence	59906	XMM-LSS_g
59906.15138888889	cadence	59906	ECDFS_g
59906.26875	cadence	59906	COSMOS_g
59907.135416666664	cadence	59907	Euclid_g
59908.040972222225	cadence	59908	Elias_S1_g
59908.09027777778	cadence	59908	XMM-LSS_g
59908.14375	cadence	59908	ECDFS_g
59908.27777777778	cadence	59908	COSMOS_g
59909.13263888889	cadence	59909	Euclid_g
59910.04236111111	cadence	59910	Elias_S1_g
59910.13263888889	cadence	59910	ECDFS_g
59910.18194444444	cadence	59910	XMM-LSS_g
59910.27777777778	cadence	59910	COSMOS_g
59911.135416666664	cadence	59911	Euclid_g
59912.04375	cadence	59912	Elias_S1_g
59912.10138888889	cadence	59912	XMM-LSS_g
59912.175	cadence	59912	ECDFS_g
59912.27777777778	cadence	59912	COSMOS_g
59913.19513888889	cadence	59913	Euclid_g
59914.04513888889	cadence	59914	Elias_S1_g
59914.09444444445	cadence	59914	XMM-LSS_g
59914.22638888889	cadence	59914	ECDFS_g
59914.27777777778	cadence	59914	COSMOS_g
59915.08125	pregap	59915	XMM-LSS_g
59915.229166666664	cadence	59915	Euclid_g
59916.04652777778	cadence	59916	Elias_S1_g
59916.13263888889	cadence	59916	ECDFS_g
59916.27777777778	cadence	59916	COSMOS_g
59917.126388888886	cadence	59917	Euclid_g
59917.27777777778	pregap	59917	COSMOS_g
59918.04791666667	pregap	59918	Elias_S1_g
59918.11388888889	pregap	59918	ECDFS_g
59918.163194444445	pregap	59918	Euclid_g
59919.04861111111	bridge	59919	Elias_S1_g
59919.1125	bridge	59919	ECDFS_g
59920.05138888889	bridge	59920	XMM-LSS_g
59922.05069444444	postgap	59922	ECDFS_g
59922.09930555556	bridge	59922	Euclid_g
59923.05138888889	postgap	59923	Elias_S1_g
59923.100694444445	postgap	59923	Euclid_g
