mjd	why	night_mjd	sequence
59885.16388888889	start	59885	XMM-LSS_g
59885.21388888889	start	59885	ECDFS_g
59885.26875	start	59885	Elias_S1_g
59886.16388888889	pregap	59886	XMM-LSS_g
59886.21388888889	pregap	59886	ECDFS_g
59886.28888888889	pregap	59886	Elias_S1_g
59894.029861111114	postgap	59894	Elias_S1_g
59894.07916666667	cadence	59894	ECDFS_g
59894.12847222222	cadence	59894	XMM-LSS_g
59895.05902777778	postgap	59895	ECDFS_g
59895.10833333333	postgap	59895	XMM-LSS_g
59896.05763888889	cadence	59896	Elias_S1_g
59896.106944444444	start	59896	Euclid_g
59897.07013888889	cadence	59897	XMM-LSS_g
59897.12152777778	cadence	59897	ECDFS_g
59898.05	cadence	59898	Elias_S1_g
59898.104166666664	cadence	59898	Euclid_g
59899.11388888889	cadence	59899	XMM-LSS_g
59899.16388888889	cadence	59899	ECDFS_g
59900.05	cadence	59900	Elias_S1_g
59900.15277777778	cadence	59900	Euclid_g
59901.11388888889	cadence	59901	XMM-LSS_g
59901.16388888889	cadence	59901	ECDFS_g
59902.03888888889	cadence	59902	Elias_S1_g
59902.15138888889	cadence	59902	Euclid_g
59902.279861111114	start	59902	COSMOS_g
59903.10138888889	cadence	59903	XMM-LSS_g
59903.15277777778	cadence	59903	ECDFS_g
59904.03888888889	cadence	59904	Elias_S1_g
59904.14513888889	cadence	59904	Euclid_g
59904.274305555555	cadence	59904	COSMOS_g
59905.10138888889	cadence	59905	XMM-LSS_g
59905.15138888889	cadence	59905	ECDFS_g
59906.03888888889	cadence	59906	Elias_S1_g
59906.135416666664	cadence	59906	Euclid_g
59906.26875	cadence	59906	COSMOS_g
59907.09027777778	cadence	59907	XMM-LSS_g
59907.14513888889	cadence	59907	ECDFS_g
59908.040972222225	cadence	59908	Elias_S1_g
59908.13402777778	cadence	59908	Euclid_g
59908.27777777778	cadence	59908	COSMOS_g
59909.09027777778	cadence	59909	XMM-LSS_g
59909.14375	cadence	59909	ECDFS_g
59910.04236111111	cadence	59910	Elias_S1_g
59910.12777777778	cadence	59910	Euclid_g
59910.27777777778	cadence	59910	COSMOS_g
59911.10138888889	cadence	59911	XMM-LSS_g
59911.15138888889	cadence	59911	ECDFS_g
59912.04375	cadence	59912	Elias_S1_g
59912.16388888889	cadence	59912	Euclid_g
59912.27777777778	cadence	59912	COSMOS_g
59913.09027777778	cadence	59913	XMM-LSS_g
59913.20763888889	cadence	59913	ECDFS_g
59914.04513888889	cadence	59914	Elias_S1_g
59914.115277777775	cadence	59914	Euclid_g
59914.21527777778	pregap	59914	XMM-LSS_g
59914.27777777778	cadence	59914	COSMOS_g
59915.04583333333	pregap	59915	Elias_S1_g
59915.22638888889	cadence	59915	ECDFS_g
59915.27777777778	pregap	59915	COSMOS_g
59916.07013888889	cadence	59916	XMM-LSS_g
59916.177777777775	pregap	59916	Euclid_g
59916.27777777778	pregap	59916	ECDFS_g
59917.04722222222	cadence	59917	Elias_S1_g
59917.27777777778	cadence	59917	COSMOS_g
59918.05902777778	cadence	59918	XMM-LSS_g
59918.11388888889	cadence	59918	ECDFS_g
59918.163194444445	cadence	59918	Euclid_g
59919.04861111111	cadence	59919	Elias_S1_g
59919.27777777778	cadence	59919	COSMOS_g
59920.05138888889	cadence	59920	XMM-LSS_g
59920.10138888889	cadence	59920	ECDFS_g
59920.15069444444	cadence	59920	Euclid_g
59921.05	cadence	59921	Elias_S1_g
59921.27777777778	cadence	59921	COSMOS_g
59922.05069444444	cadence	59922	ECDFS_g
59922.09930555556	cadence	59922	XMM-LSS_g
59922.14861111111	cadence	59922	Euclid_g
59923.05138888889	cadence	59923	Elias_S1_g
59923.27777777778	cadence	59923	COSMOS_g
59924.05138888889	postgap	59924	Elias_S1_g
59924.100694444445	cadence	59924	ECDFS_g
59924.15	cadence	59924	XMM-LSS_g
59924.19930555556	cadence	59924	Euclid_g
59925.08263888889	postgap	59925	ECDFS_g
59925.27777777778	cadence	59925	COSMOS_g
59926.052777777775	cadence	59926	Elias_S1_g
59926.10138888889	postgap	59926	XMM-LSS_g
59926.15069444444	cadence	59926	Euclid_g
59927.09027777778	cadence	59927	ECDFS_g
59927.13958333333	postgap	59927	Euclid_g
59927.27777777778	cadence	59927	COSMOS_g
59928.05347222222	cadence	59928	Elias_S1_g
59928.10277777778	cadence	59928	XMM-LSS_g
59929.08263888889	cadence	59929	ECDFS_g
59929.131944444445	cadence	59929	Euclid_g
59929.27777777778	cadence	59929	COSMOS_g
59930.05486111111	cadence	59930	Elias_S1_g
59930.103472222225	cadence	59930	XMM-LSS_g
59930.24513888889	postgap	59930	COSMOS_g
59931.08125	cadence	59931	ECDFS_g
59931.13055555556	cadence	59931	Euclid_g
59932.055555555555	cadence	59932	Elias_S1_g
