mjd	why	night_mjd	sequence
59885.16388888889	start	59885	XMM-LSS_g
59885.21388888889	start	59885	ECDFS_g
59885.26875	start	59885	Elias_S1_g
59886.16388888889	pregap	59886	XMM-LSS_g
59886.21388888889	pregap	59886	ECDFS_g
59886.28888888889	pregap	59886	Elias_S1_g
59894.029861111114	postgap	59894	Elias_S1_g
59894.07916666667	cadence	59894	ECDFS_g
59894.12847222222	cadence	59894	XMM-LSS_g
59895.05902777778	postgap	59895	ECDFS_g
59895.10833333333	postgap	59895	XMM-LSS_g
59896.041666666664	start	59896	Euclid_g
59897.05138888889	cadence	59897	Elias_S1_g
59898.10138888889	cadence	59898	XMM-LSS_g
59898.15277777778	cadence	59898	ECDFS_g
59899.12777777778	cadence	59899	Euclid_g
59900.05	cadence	59900	Elias_S1_g
59901.11388888889	cadence	59901	XMM-LSS_g
59901.16388888889	cadence	59901	ECDFS_g
59902.15138888889	cadence	59902	Euclid_g
59902.279861111114	start	59902	COSMOS_g
59903.03888888889	cadence	59903	Elias_S1_g
59904.10138888889	cadence	59904	XMM-LSS_g
59904.15277777778	cadence	59904	ECDFS_g
59905.14375	cadence	59905	Euclid_g
59905.271527777775	cadence	59905	COSMOS_g
59906.03888888889	cadence	59906	Elias_S1_g
59907.09027777778	cadence	59907	XMM-LSS_g
59907.14513888889	cadence	59907	ECDFS_g
59908.13402777778	cadence	59908	Euclid_g
59908.27777777778	cadence	59908	COSMOS_g
59909.041666666664	cadence	59909	Elias_S1_g
59910.08263888889	cadence	59910	XMM-LSS_g
59910.13263888889	cadence	59910	ECDFS_g
59911.135416666664	cadence	59911	Euclid_g
59911.27777777778	cadence	59911	COSMOS_g
59912.04375	cadence	59912	Elias_S1_g
59913.09027777778	cadence	59913	XMM-LSS_g
59913.20763888889	cadence	59913	ECDFS_g
59914.115277777775	cadence	59914	Euclid_g
59914.21527777778	pregap	59914	XMM-LSS_g
59914.27777777778	cadence	59914	COSMOS_g
59915.04583333333	pregap	59915	Elias_S1_g
59915.27777777778	pregap	59915	COSMOS_g
59916.177777777775	pregap	59916	Euclid_g
59916.27777777778	pregap	59916	ECDFS_g
59917.07013888889	cadence	59917	XMM-LSS_g
59918.04791666667	cadence	59918	Elias_S1_g
59918.27777777778	cadence	59918	COSMOS_g
59919.1125	cadence	59919	ECDFS_g
59919.16180555556	cadence	59919	Euclid_g
59920.05138888889	cadence	59920	XMM-LSS_g
59921.05	cadence	59921	Elias_S1_g
59921.27777777778	cadence	59921	COSMOS_g
59922.05069444444	cadence	59922	ECDFS_g
59922.09930555556	cadence	59922	Euclid_g
59923.05138888889	cadence	59923	XMM-LSS_g
59924.05138888889	postgap	59924	Elias_S1_g
59924.27777777778	cadence	59924	COSMOS_g
59925.08263888889	postgap	59925	ECDFS_g
59925.131944444445	cadence	59925	Euclid_g
59926.052777777775	postgap	59926	XMM-LSS_g
59926.10138888889	postgap	59926	Euclid_g
59927.05347222222	cadence	59927	Elias_S1_g
59927.27777777778	cadence	59927	COSMOS_g
59928.08888888889	cadence	59928	ECDFS_g
59929.05416666667	cadence	59929	XMM-LSS_g
59929.103472222225	cadence	59929	Euclid_g
59930.05486111111	cadence	59930	Elias_S1_g
59930.24513888889	postgap	59930	COSMOS_g
59931.08125	cadence	59931	ECDFS_g
59932.055555555555	cadence	59932	XMM-LSS_g
59932.10486111111	cadence	59932	Euclid_g
59933.05625	cadence	59933	Elias_S1_g
59933.27777777778	cadence	59933	COSMOS_g
59934.07013888889	cadence	59934	ECDFS_g
59935.05694444444	cadence	59935	XMM-LSS_g
59935.10555555556	cadence	59935	Euclid_g
59936.05694444444	cadence	59936	Elias_S1_g
59936.27777777778	cadence	59936	COSMOS_g
59937.07013888889	cadence	59937	ECDFS_g
59938.05763888889	cadence	59938	XMM-LSS_g
59938.106944444444	cadence	59938	Euclid_g
59939.05763888889	cadence	59939	Elias_S1_g
59939.27777777778	cadence	59939	COSMOS_g
59940.07013888889	cadence	59940	ECDFS_g
59941.058333333334	cadence	59941	XMM-LSS_g
59941.10763888889	cadence	59941	Euclid_g
59942.058333333334	cadence	59942	Elias_S1_g
59942.13263888889	pregap	59942	XMM-LSS_g
59942.28888888889	cadence	59942	COSMOS_g
59943.05902777778	pregap	59943	Elias_S1_g
59943.18402777778	cadence	59943	ECDFS_g
59944.19513888889	cadence	59944	Euclid_g
59945.05902777778	cadence	59945	XMM-LSS_g
59945.10833333333	pregap	59945	Euclid_g
59945.22638888889	pregap	59945	ECDFS_g
59945.28888888889	cadence	59945	COSMOS_g
59946.05902777778	cadence	59946	Elias_S1_g
59947.28888888889	pregap	59947	COSMOS_g
59948.05902777778	cadence	59948	ECDFS_g
59948.10833333333	cadence	59948	XMM-LSS_g
59948.15694444445	cadence	59948	Euclid_g
