mjd	why	night_mjd	sequence
59993.0375	cadence	59993	Euclid_g
59994.03680555556	cadence	59994	ECDFS_g
59994.17638888889	cadence	59994	COSMOS_g
59995.03611111111	cadence	59995	Euclid_g
59996.03472222222	cadence	59996	ECDFS_g
59996.175	cadence	59996	COSMOS_g
59997.03402777778	cadence	59997	Euclid_g
59998.03333333333	cadence	59998	ECDFS_g
59998.16388888889	cadence	59998	COSMOS_g
59999.032638888886	cadence	59999	Euclid_g
60000.03194444445	cadence	60000	ECDFS_g
60000.16388888889	cadence	60000	COSMOS_g
60001.03055555555	cadence	60001	Euclid_g
60002.15277777778	cadence	60002	COSMOS_g
60004.21388888889	cadence	60004	COSMOS_g
60005.24513888889	pregap	60005	COSMOS_g
60012.12152777778	bridge	60012	COSMOS_g
60016.03888888889	postgap	60016	COSMOS_g
60018.10138888889	cadence	60018	COSMOS_g
60020.10138888889	cadence	60020	COSMOS_g
60022.10138888889	cadence	60022	COSMOS_g
60024.09027777778	cadence	60024	COSMOS_g
60026.08888888889	cadence	60026	COSMOS_g
60028.08263888889	cadence	60028	COSMOS_g
60030.09027777778	cadence	60030	COSMOS_g
60032.15138888889	pregap	60032	COSMOS_g
60038.05138888889	bridge	60038	COSMOS_g
60045.00763888889	postgap	60045	COSMOS_g
60047.02777777778	cadence	60047	COSMOS_g
60049.02638888889	cadence	60049	COSMOS_g
60051.02013888889	cadence	60051	COSMOS_g
60053.01875	cadence	60053	COSMOS_g
60055.00763888889	cadence	60055	COSMOS_g
60057.00763888889	cadence	60057	COSMOS_g
60059.02638888889	cadence	60059	COSMOS_g
60060.05	pregap	60060	COSMOS_g
60066.978472222225	bridge	60067	COSMOS_g
60073.975	postgap	60074	COSMOS_g
60075.97430555556	cadence	60076	COSMOS_g
60077.97361111111	cadence	60078	COSMOS_g
60079.972916666666	cadence	60080	COSMOS_g
60081.97222222222	cadence	60082	COSMOS_g
60083.36388888889	cadence	60083	Elias_S1_g
60083.97152777778	cadence	60084	COSMOS_g
60085.36388888889	cadence	60085	Elias_S1_g
60085.97083333333	cadence	60086	COSMOS_g
60087.37013888889	cadence	60087	Elias_S1_g
60087.97083333333	cadence	60088	COSMOS_g
60088.970138888886	pregap	60089	COSMOS_g
60089.37013888889	cadence	60089	Elias_S1_g
60091.37152777778	cadence	60091	Elias_S1_g
60093.37152777778	cadence	60093	Elias_S1_g
60094.96944444445	bridge	60095	COSMOS_g
